lon,lat,N_rate_kgha,irrigation_mm,sowing_DOY,plant_density_m2
116.8125,40.4792,150,200,278,450
116.8542,40.4792,150,200,278,450
116.8958,40.4792,150,200,278,450
116.9375,40.4792,150,200,278,450
116.9792,40.4792,150,200,278,450
117.0208,40.4792,150,200,278,450
117.0625,40.4792,150,200,278,450
117.1042,40.4792,150,200,278,450
117.1458,40.4792,150,200,278,450
117.1875,40.4792,150,200,278,450
117.2292,40.4792,150,200,278,450
117.2708,40.4792,150,200,278,450
117.3125,40.4792,150,200,278,450
117.3542,40.4792,150,200,278,450
117.3958,40.4792,150,200,278,450
117.4375,40.4792,150,200,278,450
117.4792,40.4792,150,200,278,450
117.5208,40.4792,150,200,278,450
116.8125,40.4375,150,200,278,450
116.8542,40.4375,150,200,278,450
116.8958,40.4375,150,200,278,450
116.9375,40.4375,150,200,278,450
116.9792,40.4375,150,200,278,450
117.0208,40.4375,150,200,278,450
117.0625,40.4375,150,200,278,450
117.1042,40.4375,150,200,278,450
117.1458,40.4375,150,200,278,450
117.1875,40.4375,150,200,278,450
117.2292,40.4375,150,200,278,450
117.2708,40.4375,150,200,278,450
117.3125,40.4375,150,200,278,450
117.3542,40.4375,150,200,278,450
117.3958,40.4375,150,200,278,450
117.4375,40.4375,150,200,278,450
117.4792,40.4375,150,200,278,450
117.5208,40.4375,150,200,278,450
116.8125,40.3958,150,200,278,450
116.8542,40.3958,150,200,278,450
116.8958,40.3958,150,200,278,450
116.9375,40.3958,150,200,278,450
116.9792,40.3958,150,200,278,450
117.0208,40.3958,150,200,278,450
117.0625,40.3958,150,200,278,450
117.1042,40.3958,150,200,278,450
117.1458,40.3958,150,200,278,450
117.1875,40.3958,150,200,278,450
117.2292,40.3958,150,200,278,450
117.2708,40.3958,150,200,278,450
117.3125,40.3958,150,200,278,450
117.3542,40.3958,150,200,278,450
117.3958,40.3958,150,200,278,450
117.4375,40.3958,150,200,278,450
117.4792,40.3958,150,200,278,450
117.5208,40.3958,150,200,278,450
116.8125,40.3542,150,200,278,450
116.8542,40.3542,150,200,278,450
116.8958,40.3542,150,200,278,450
116.9375,40.3542,150,200,278,450
116.9792,40.3542,150,200,278,450
117.0208,40.3542,150,200,278,450
117.0625,40.3542,150,200,278,450
117.1042,40.3542,150,200,278,450
117.1458,40.3542,150,200,278,450
117.1875,40.3542,150,200,278,450
117.2292,40.3542,150,200,278,450
117.2708,40.3542,150,200,278,450
117.3125,40.3542,150,200,278,450
117.3542,40.3542,150,200,278,450
117.3958,40.3542,150,200,278,450
117.4375,40.3542,150,200,278,450
117.4792,40.3542,150,200,278,450
117.5208,40.3542,150,200,278,450
116.8125,40.3125,150,200,278,450
116.8542,40.3125,150,200,278,450
116.8958,40.3125,150,200,278,450
116.9375,40.3125,150,200,278,450
116.9792,40.3125,150,200,278,450
117.0208,40.3125,150,200,278,450
117.0625,40.3125,150,200,278,450
117.1042,40.3125,150,200,278,450
117.1458,40.3125,150,200,278,450
117.1875,40.3125,150,200,278,450
117.2292,40.3125,150,200,278,450
117.2708,40.3125,150,200,278,450
117.3125,40.3125,150,200,278,450
117.3542,40.3125,150,200,278,450
117.3958,40.3125,150,200,278,450
117.4375,40.3125,150,200,278,450
117.4792,40.3125,150,200,278,450
117.5208,40.3125,150,200,278,450
116.8125,40.2708,150,200,278,450
116.8542,40.2708,150,200,278,450
116.8958,40.2708,150,200,278,450
116.9375,40.2708,150,200,278,450
116.9792,40.2708,150,200,278,450
117.0208,40.2708,150,200,278,450
117.0625,40.2708,150,200,278,450
117.1042,40.2708,150,200,278,450
117.1458,40.2708,150,200,278,450
117.1875,40.2708,150,200,278,450
117.2292,40.2708,150,200,278,450
117.2708,40.2708,150,200,278,450
117.3125,40.2708,150,200,278,450
117.3542,40.2708,150,200,278,450
117.3958,40.2708,150,200,278,450
117.4375,40.2708,150,200,278,450
117.4792,40.2708,150,200,278,450
117.5208,40.2708,150,200,278,450
116.8125,40.2292,150,200,278,450
116.8542,40.2292,150,200,278,450
116.8958,40.2292,150,200,278,450
116.9375,40.2292,150,200,278,450
116.9792,40.2292,150,200,278,450
117.0208,40.2292,150,200,278,450
117.0625,40.2292,150,200,278,450
117.1042,40.2292,150,200,278,450
117.1458,40.2292,150,200,278,450
117.1875,40.2292,150,200,278,450
117.2292,40.2292,150,200,278,450
117.2708,40.2292,150,200,278,450
117.3125,40.2292,150,200,278,450
117.3542,40.2292,150,200,278,450
117.3958,40.2292,150,200,278,450
117.4375,40.2292,150,200,278,450
117.4792,40.2292,150,200,278,450
117.5208,40.2292,150,200,278,450
116.8125,40.1875,150,200,278,450
116.8542,40.1875,150,200,278,450
116.8958,40.1875,150,200,278,450
116.9375,40.1875,150,200,278,450
116.9792,40.1875,150,200,278,450
117.0208,40.1875,150,200,278,450
117.0625,40.1875,150,200,278,450
117.1042,40.1875,150,200,278,450
117.1458,40.1875,150,200,278,450
117.1875,40.1875,150,200,278,450
117.2292,40.1875,150,200,278,450
117.2708,40.1875,150,200,278,450
117.3125,40.1875,150,200,278,450
117.3542,40.1875,150,200,278,450
117.3958,40.1875,150,200,278,450
117.4375,40.1875,150,200,278,450
117.4792,40.1875,150,200,278,450
117.5208,40.1875,150,200,278,450
116.8125,40.1458,150,200,278,450
116.8542,40.1458,150,200,278,450
116.8958,40.1458,150,200,278,450
116.9375,40.1458,150,200,278,450
116.9792,40.1458,150,200,278,450
117.0208,40.1458,150,200,278,450
117.0625,40.1458,150,200,278,450
117.1042,40.1458,150,200,278,450
117.1458,40.1458,150,200,278,450
117.1875,40.1458,150,200,278,450
117.2292,40.1458,150,200,278,450
117.2708,40.1458,150,200,278,450
117.3125,40.1458,150,200,278,450
117.3542,40.1458,150,200,278,450
117.3958,40.1458,150,200,278,450
117.4375,40.1458,150,200,278,450
117.4792,40.1458,150,200,278,450
117.5208,40.1458,150,200,278,450
116.8125,40.1042,150,200,278,450
116.8542,40.1042,150,200,278,450
116.8958,40.1042,150,200,278,450
116.9375,40.1042,150,200,278,450
116.9792,40.1042,150,200,278,450
117.0208,40.1042,150,200,278,450
117.0625,40.1042,150,200,278,450
117.1042,40.1042,150,200,278,450
117.1458,40.1042,150,200,278,450
117.1875,40.1042,150,200,278,450
117.2292,40.1042,150,200,278,450
117.2708,40.1042,150,200,278,450
117.3125,40.1042,150,200,278,450
117.3542,40.1042,150,200,278,450
117.3958,40.1042,150,200,278,450
117.4375,40.1042,150,200,278,450
117.4792,40.1042,150,200,278,450
117.5208,40.1042,150,200,278,450
116.8125,40.0625,150,200,278,450
116.8542,40.0625,150,200,278,450
116.8958,40.0625,150,200,278,450
116.9375,40.0625,150,200,278,450
116.9792,40.0625,150,200,278,450
117.0208,40.0625,150,200,278,450
117.0625,40.0625,150,200,278,450
117.1042,40.0625,150,200,278,450
117.1458,40.0625,150,200,278,450
117.1875,40.0625,150,200,278,450
117.2292,40.0625,150,200,278,450
117.2708,40.0625,150,200,278,450
117.3125,40.0625,150,200,278,450
117.3542,40.0625,150,200,278,450
117.3958,40.0625,150,200,278,450
117.4375,40.0625,150,200,278,450
117.4792,40.0625,150,200,278,450
117.5208,40.0625,150,200,278,450
116.8125,40.0208,150,200,278,450
116.8542,40.0208,150,200,278,450
116.8958,40.0208,150,200,278,450
116.9375,40.0208,150,200,278,450
116.9792,40.0208,150,200,278,450
117.0208,40.0208,150,200,278,450
117.0625,40.0208,150,200,278,450
117.1042,40.0208,150,200,278,450
117.1458,40.0208,150,200,278,450
117.1875,40.0208,150,200,278,450
117.2292,40.0208,150,200,278,450
117.2708,40.0208,150,200,278,450
117.3125,40.0208,150,200,278,450
117.3542,40.0208,150,200,278,450
117.3958,40.0208,150,200,278,450
117.4375,40.0208,150,200,278,450
117.4792,40.0208,150,200,278,450
117.5208,40.0208,150,200,278,450
116.8125,39.9792,150,200,278,450
116.8542,39.9792,150,200,278,450
116.8958,39.9792,150,200,278,450
116.9375,39.9792,150,200,278,450
116.9792,39.9792,150,200,278,450
117.0208,39.9792,150,200,278,450
117.0625,39.9792,150,200,278,450
117.1042,39.9792,150,200,278,450
117.1458,39.9792,150,200,278,450
117.1875,39.9792,150,200,278,450
117.2292,39.9792,150,200,278,450
117.2708,39.9792,150,200,278,450
117.3125,39.9792,150,200,278,450
117.3542,39.9792,150,200,278,450
117.3958,39.9792,150,200,278,450
117.4375,39.9792,150,200,278,450
117.4792,39.9792,150,200,278,450
117.5208,39.9792,150,200,278,450
