维度序号,特征名称,含义,数据来源,本地文件,状态
1,bio1,年均温,WorldClim 2.1,Data/WorldClim/wc2.1_2.5m_bio_1.tif,已获取
2,bio2,昼夜温差月均值,WorldClim 2.1,Data/WorldClim/wc2.1_2.5m_bio_2.tif,已获取
3,bio3,等温性(bio2/bio7×100),WorldClim 2.1,Data/WorldClim/wc2.1_2.5m_bio_3.tif,已获取
4,bio4,温度季节变异系数,WorldClim 2.1,Data/WorldClim/wc2.1_2.5m_bio_4.tif,已获取
5,bio5,最暖月最高温,WorldClim 2.1,Data/WorldClim/wc2.1_2.5m_bio_5.tif,已获取
6,bio6,最冷月最低温,WorldClim 2.1,Data/WorldClim/wc2.1_2.5m_bio_6.tif,已获取
7,bio7,温度年较差(bio5-bio6),WorldClim 2.1,Data/WorldClim/wc2.1_2.5m_bio_7.tif,已获取
8,bio8,最湿季均温,WorldClim 2.1,Data/WorldClim/wc2.1_2.5m_bio_8.tif,已获取
9,bio9,最干季均温,WorldClim 2.1,Data/WorldClim/wc2.1_2.5m_bio_9.tif,已获取
10,bio10,最暖季均温,WorldClim 2.1,Data/WorldClim/wc2.1_2.5m_bio_10.tif,已获取
11,bio11,最冷季均温,WorldClim 2.1,Data/WorldClim/wc2.1_2.5m_bio_11.tif,已获取
12,bio12,年降水,WorldClim 2.1,Data/WorldClim/wc2.1_2.5m_bio_12.tif,已获取
13,bio13,最湿月降水,WorldClim 2.1,Data/WorldClim/wc2.1_2.5m_bio_13.tif,已获取
14,bio14,最干月降水,WorldClim 2.1,Data/WorldClim/wc2.1_2.5m_bio_14.tif,已获取
15,bio15,降水季节变异系数,WorldClim 2.1,Data/WorldClim/wc2.1_2.5m_bio_15.tif,已获取
16,bio16,最湿季降水,WorldClim 2.1,Data/WorldClim/wc2.1_2.5m_bio_16.tif,已获取
17,bio17,最干季降水,WorldClim 2.1,Data/WorldClim/wc2.1_2.5m_bio_17.tif,已获取
18,bio18,最暖季降水,WorldClim 2.1,Data/WorldClim/wc2.1_2.5m_bio_18.tif,已获取
19,bio19,最冷季降水,WorldClim 2.1,Data/WorldClim/wc2.1_2.5m_bio_19.tif,已获取
20,tavg_03,3月均温(小麦返青),WorldClim Monthly,Data/WorldClim/wc2.1_2.5m_tavg_03.tif,已获取
21,tavg_04,4月均温(小麦拔节),WorldClim Monthly,Data/WorldClim/wc2.1_2.5m_tavg_04.tif,已获取
22,tavg_05,5月均温(小麦灌浆),WorldClim Monthly,Data/WorldClim/wc2.1_2.5m_tavg_05.tif,已获取
23,tavg_06,6月均温(小麦收获/玉米播种),WorldClim Monthly,Data/WorldClim/wc2.1_2.5m_tavg_06.tif,已获取
24,tavg_07,7月均温(玉米拔节),WorldClim Monthly,Data/WorldClim/wc2.1_2.5m_tavg_07.tif,已获取
25,tavg_08,8月均温(玉米灌浆),WorldClim Monthly,Data/WorldClim/wc2.1_2.5m_tavg_08.tif,已获取
26,tavg_09,9月均温(玉米收获/小麦播种),WorldClim Monthly,Data/WorldClim/wc2.1_2.5m_tavg_09.tif,已获取
27,prec_03,3月降水(小麦返青),WorldClim Monthly,Data/WorldClim/wc2.1_2.5m_prec_03.tif,已获取
28,prec_04,4月降水(小麦拔节),WorldClim Monthly,Data/WorldClim/wc2.1_2.5m_prec_04.tif,已获取
29,prec_05,5月降水(小麦灌浆),WorldClim Monthly,Data/WorldClim/wc2.1_2.5m_prec_05.tif,已获取
30,prec_06,6月降水(小麦收获/玉米播种),WorldClim Monthly,Data/WorldClim/wc2.1_2.5m_prec_06.tif,已获取
31,prec_07,7月降水(玉米拔节),WorldClim Monthly,Data/WorldClim/wc2.1_2.5m_prec_07.tif,已获取
32,prec_08,8月降水(玉米灌浆),WorldClim Monthly,Data/WorldClim/wc2.1_2.5m_prec_08.tif,已获取
33,prec_09,9月降水(玉米收获/小麦播种),WorldClim Monthly,Data/WorldClim/wc2.1_2.5m_prec_09.tif,已获取
34,GDD0,生长度日(base 0度C),由tavg计算,已获取数据可计算,可计算
35,GDD5,生长度日(base 5度C),由tavg计算,已获取数据可计算,可计算
36,GDD10,生长度日(base 10度C),由tavg计算,已获取数据可计算,可计算
37,GDD15,生长度日(base 15度C),由tavg计算,已获取数据可计算,可计算
38,GDD20,生长度日(base 20度C),由tavg计算,已获取数据可计算,可计算
39,GDD25,生长度日(base 25度C),由tavg计算,已获取数据可计算,可计算
40,Tmax_95p,极端高温阈值(95分位),CHELSA daily,待手动下载,需手动
41,Tmin_5p,极端低温阈值(5分位),CHELSA daily,待手动下载,需手动
42,Prec_95p,极端降水阈值(95分位),CHELSA daily,待手动下载,需手动
43,CO2,大气CO2浓度(ppm),CMIP6 ScenarioMIP,Data/CMIP6/CMIP6_CO2_Concentration.csv,已获取
44,Sand,砂粒含量(0-5cm wt%),SoilGrids 2.0,Data/SoilGrids/SG_sand_0-5cm.vrt,已获取
45,Silt,粉粒含量(0-5cm wt%),SoilGrids 2.0,Data/SoilGrids/SG_silt_0-5cm.vrt,已获取
46,Clay,黏粒含量(0-5cm wt%),SoilGrids 2.0,Data/SoilGrids/SG_clay_0-5cm.vrt,已获取
47,SOC,有机碳(0-5cm dg/kg),SoilGrids 2.0,Data/SoilGrids/SG_soc_0-5cm.vrt,已获取
48,Nitrogen,全氮(0-5cm cg/kg),SoilGrids 2.0,Data/SoilGrids/SG_nitrogen_0-5cm.vrt,已获取
49,pH,pH值(0-5cm ×10),SoilGrids 2.0,待下载phh2o VRT,需手动
50,BD,容重(0-5cm cg/cm3),SoilGrids 2.0,待下载bdod VRT,需手动
51,CEC,阳离子交换量(0-5cm mmolc/kg),SoilGrids 2.0,待下载cec VRT,需手动
52,SAT,饱和含水量(wt%),中国土壤数据库,待注册下载,需手动
53,DUL,田间持水量(wt%),中国土壤数据库,待注册下载,需手动
54,LL15,永久萎蔫点(wt%),中国土壤数据库,待注册下载,需手动
55,Elevation,海拔(m),SRTM 30m,Data/SRTM/srtm_58_05.tif,已获取
56,Slope,坡度(度),由Elevation计算,已获取数据可计算,可计算
57,Aspect,坡向(度),由Elevation计算,已获取数据可计算,可计算
58,TKW,千粒重(g),品种审定公告,Data/Variety/Variety_Wheat_Traits.csv,模板已有待填入
59,WGP,穗粒数,品种审定公告,Data/Variety/Variety_Wheat_Traits.csv,模板已有待填入
60,SpikeDensity,有效穗(万/ha),品种审定公告,Data/Variety/Variety_Wheat_Traits.csv,模板已有待填入
61,PlantHeight,株高(cm),品种审定公告,Data/Variety/Variety_Wheat_Traits.csv,模板已有待填入
62,MaturityDays,生育期(天),品种审定公告,Data/Variety/Variety_Wheat_Traits.csv,模板已有待填入
63,GrainFillDays,灌浆期(天),品种审定公告,Data/Variety/Variety_Wheat_Traits.csv,模板已有待填入
64,ColdTolerance,抗寒性(1-5),品种审定公告,Data/Variety/Variety_Wheat_Traits.csv,模板已有待填入
65,DroughtTolerance,抗旱性(1-5),品种审定公告,Data/Variety/Variety_Wheat_Traits.csv,模板已有待填入
