字段组,字段名,说明,新增行覆盖率,单位
标识,gridcell,Xiao2024 rds 1km 网格编号（NCP 1320 列行主序，基线行为空）,新增行 100%,—
标识,lon,经度（°，EPSG:4326，网格左上角起算 112.1 + col×0.0083333）,新增行 100%,°
标识,lat,纬度（°，40.7 - row×0.0083333）,新增行 100%,°
标识,source_batch,来源批次：Baseline_234grid | Xiao2024_rds_History,100%,—
标识,license,数据许可（新增行全部 CC BY 4.0）,100%,—
产量与管理（Xiao2024 增量）,Yield,优化产量（t/ha，轮作体系冬小麦+夏玉米两熟合计，History 基准期）,新增行 100%,t/ha
产量与管理（Xiao2024 增量）,New_Yield,二次优化产量（t/ha，含减排约束）,新增行 100%,t/ha
产量与管理（Xiao2024 增量）,WN,优化施氮量（kg/ha，冬小麦季）,新增行 100%,kg/ha
产量与管理（Xiao2024 增量）,MN,优化施氮量（kg/ha，夏玉米季）,新增行 100%,kg/ha
产量与管理（Xiao2024 增量）,xWIrri,优化灌溉量（mm，冬小麦季）,新增行 100%,mm
产量与管理（Xiao2024 增量）,xMIrri,优化灌溉量（mm，夏玉米季）,新增行 100%,mm
产量与管理（Xiao2024 增量）,WR,冬小麦季降雨（mm，模式集合平均）,新增行 100%,mm
产量与管理（Xiao2024 增量）,MR,夏玉米季降雨（mm）,新增行 100%,mm
产量与管理（Xiao2024 增量）,CO2,CO2 浓度（ppm，随 SSP 情景；History=375.82）,新增行 100%,—
产量与管理（Xiao2024 增量）,SAT_1,土壤饱和度（分数）,新增行 100%,—
产量与管理（Xiao2024 增量）,BD_1,土壤容重（g/cm³）,新增行 100%,—
产量与管理（Xiao2024 增量）,SOC_1,土壤有机碳（%）,新增行 100%,—
产量与管理（Xiao2024 增量）,PH_1,土壤 pH,新增行 100%,—
环境-气候（WorldClim 2.1，气候背景）,bio_1,生物气候变量 bio1（19 环，WorldClim 2.1 2.5 弧分≈5km；温度项×10 或标准单位）,新增行 100%,—
环境-气候（WorldClim 2.1，气候背景）,bio_2,生物气候变量 bio2（19 环，WorldClim 2.1 2.5 弧分≈5km；温度项×10 或标准单位）,新增行 100%,—
环境-气候（WorldClim 2.1，气候背景）,bio_3,生物气候变量 bio3（19 环，WorldClim 2.1 2.5 弧分≈5km；温度项×10 或标准单位）,新增行 100%,—
环境-气候（WorldClim 2.1，气候背景）,bio_4,生物气候变量 bio4（19 环，WorldClim 2.1 2.5 弧分≈5km；温度项×10 或标准单位）,新增行 100%,—
环境-气候（WorldClim 2.1，气候背景）,bio_5,生物气候变量 bio5（19 环，WorldClim 2.1 2.5 弧分≈5km；温度项×10 或标准单位）,新增行 100%,—
环境-气候（WorldClim 2.1，气候背景）,bio_6,生物气候变量 bio6（19 环，WorldClim 2.1 2.5 弧分≈5km；温度项×10 或标准单位）,新增行 100%,—
环境-气候（WorldClim 2.1，气候背景）,bio_7,生物气候变量 bio7（19 环，WorldClim 2.1 2.5 弧分≈5km；温度项×10 或标准单位）,新增行 100%,—
环境-气候（WorldClim 2.1，气候背景）,bio_8,生物气候变量 bio8（19 环，WorldClim 2.1 2.5 弧分≈5km；温度项×10 或标准单位）,新增行 100%,—
