cell_r,cell_c,lon,lat,yield_2021_tha,n_px,elevation_m,bdod,cec,clay,nitrogen,phh2o,sand,silt,soc,bio_1,bio_4,bio_5,bio_12,bio_15,bio_10,prec_01,prec_02,prec_03,prec_04,prec_05,prec_06,prec_07,prec_08,prec_09,prec_10,prec_11,prec_12,tavg_01,tavg_02,tavg_03,tavg_04,tavg_05,tavg_06,tavg_07,tavg_08,tavg_09,tavg_10,tavg_11,tavg_12,GDD_01,GDD_02,GDD_03,GDD_04,GDD_05,GDD_06,GDD_07,GDD_08,GDD_09,GDD_10,GDD_11,GDD_12,GDD_gs,GDD_annual,gdd_ws,prec_ws,prec_cm,prec_cv,tseason,aridity_ws,y21_tmean,y21_prec,y21_t36,y21_p36,y21_gdd,y21_efd,y21_hot,ano_tmean,ano_prec,ano_gdd,ano_t36,ix_arid_silt,ix_gdd_clay,ix_preccv_elev
0,17,116.959375,40.021125000000005,5.537,50,28.0,135.0,194.0,201.0,,78.0,407.0,392.0,143.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578,3.5384615384615383,3.252136752136752,7.042735042735043,14.965811965811966,32.15384615384615,70.38888888888889,188.36752136752136,143.3846153846154,47.042735042735046,16.487179487179485,5.431623931623932,3.4914529914529915,-6.361128205128205,-3.047777777777778,3.6249059829059833,12.195658119658118,18.05904273504273,22.407350427350423,24.46651282051282,23.28705982905983,18.169299145299146,11.54948717948718,2.774376068376068,-3.902427350427351,0.0,0.0,0.0,67.38205128205128,249.83032393162392,372.22051282051285,448.461897008547,411.89885470085466,245.07897435897436,51.2374358974359,0.0,0.0,1794.8726183760684,1846.110055128205,740.6703239316239,156.75213675213675,449.1837606837607,1.3089769167676513,30.82764102564102,9.577556974452886,12.384657534246575,856.5999999999999,16.568032786885247,143.29999999999998,4749.9,54.0,13.0,11.226074179296624,322.5999999999999,2903.7899448717944,14.10003275636767,3754.402333985531,148874.7351102564,36.651353669494235
0,18,116.961625,40.021125000000005,5.588,35,26.0,135.0,194.0,201.0,,78.0,407.0,392.0,143.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578,3.5384615384615383,3.252136752136752,7.042735042735043,14.965811965811966,32.15384615384615,70.38888888888889,188.36752136752136,143.3846153846154,47.042735042735046,16.487179487179485,5.431623931623932,3.4914529914529915,-6.361128205128205,-3.047777777777778,3.6249059829059833,12.195658119658118,18.05904273504273,22.407350427350423,24.46651282051282,23.28705982905983,18.169299145299146,11.54948717948718,2.774376068376068,-3.902427350427351,0.0,0.0,0.0,67.38205128205128,249.83032393162392,372.22051282051285,448.461897008547,411.89885470085466,245.07897435897436,51.2374358974359,0.0,0.0,1794.8726183760684,1846.110055128205,740.6703239316239,156.75213675213675,449.1837606837607,1.3089769167676513,30.82764102564102,9.577556974452886,12.384657534246575,856.5999999999999,16.568032786885247,143.29999999999998,4749.9,54.0,13.0,11.226074179296624,322.5999999999999,2903.7899448717944,14.10003275636767,3754.402333985531,148874.7351102564,34.03339983595893
0,21,116.968375,40.021125000000005,5.625,24,28.0,135.0,194.0,201.0,,78.0,407.0,392.0,143.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578,3.5384615384615383,3.252136752136752,7.042735042735043,14.965811965811966,32.15384615384615,70.38888888888889,188.36752136752136,143.3846153846154,47.042735042735046,16.487179487179485,5.431623931623932,3.4914529914529915,-6.361128205128205,-3.047777777777778,3.6249059829059833,12.195658119658118,18.05904273504273,22.407350427350423,24.46651282051282,23.28705982905983,18.169299145299146,11.54948717948718,2.774376068376068,-3.902427350427351,0.0,0.0,0.0,67.38205128205128,249.83032393162392,372.22051282051285,448.461897008547,411.89885470085466,245.07897435897436,51.2374358974359,0.0,0.0,1794.8726183760684,1846.110055128205,740.6703239316239,156.75213675213675,449.1837606837607,1.3089769167676513,30.82764102564102,9.577556974452886,12.384657534246575,856.5999999999999,16.568032786885247,143.29999999999998,4749.9,54.0,13.0,11.226074179296624,322.5999999999999,2903.7899448717944,14.10003275636767,3754.402333985531,148874.7351102564,36.651353669494235
0,22,116.970625,40.021125000000005,5.854,34,27.0,135.0,194.0,201.0,,78.0,407.0,392.0,143.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578,3.5384615384615383,3.252136752136752,7.042735042735043,14.965811965811966,32.15384615384615,70.38888888888889,188.36752136752136,143.3846153846154,47.042735042735046,16.487179487179485,5.431623931623932,3.4914529914529915,-6.361128205128205,-3.047777777777778,3.6249059829059833,12.195658119658118,18.05904273504273,22.407350427350423,24.46651282051282,23.28705982905983,18.169299145299146,11.54948717948718,2.774376068376068,-3.902427350427351,0.0,0.0,0.0,67.38205128205128,249.83032393162392,372.22051282051285,448.461897008547,411.89885470085466,245.07897435897436,51.2374358974359,0.0,0.0,1794.8726183760684,1846.110055128205,740.6703239316239,156.75213675213675,449.1837606837607,1.3089769167676513,30.82764102564102,9.577556974452886,12.384657534246575,856.5999999999999,16.568032786885247,143.29999999999998,4749.9,54.0,13.0,11.226074179296624,322.5999999999999,2903.7899448717944,14.10003275636767,3754.402333985531,148874.7351102564,35.34237675272659
0,23,116.972875,40.021125000000005,5.793,39,25.0,135.0,194.0,201.0,,78.0,407.0,392.0,143.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578,3.5384615384615383,3.252136752136752,7.042735042735043,14.965811965811966,32.15384615384615,70.38888888888889,188.36752136752136,143.3846153846154,47.042735042735046,16.487179487179485,5.431623931623932,3.4914529914529915,-6.361128205128205,-3.047777777777778,3.6249059829059833,12.195658119658118,18.05904273504273,22.407350427350423,24.46651282051282,23.28705982905983,18.169299145299146,11.54948717948718,2.774376068376068,-3.902427350427351,0.0,0.0,0.0,67.38205128205128,249.83032393162392,372.22051282051285,448.461897008547,411.89885470085466,245.07897435897436,51.2374358974359,0.0,0.0,1794.8726183760684,1846.110055128205,740.6703239316239,156.75213675213675,449.1837606837607,1.3089769167676513,30.82764102564102,9.577556974452886,12.384657534246575,856.5999999999999,16.568032786885247,143.29999999999998,4749.9,54.0,13.0,11.226074179296624,322.5999999999999,2903.7899448717944,14.10003275636767,3754.402333985531,148874.7351102564,32.724422919191284
0,24,116.975125,40.021125000000005,5.706,43,26.0,135.0,194.0,201.0,,78.0,407.0,392.0,143.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578,3.5384615384615383,3.252136752136752,7.042735042735043,14.965811965811966,32.15384615384615,70.38888888888889,188.36752136752136,143.3846153846154,47.042735042735046,16.487179487179485,5.431623931623932,3.4914529914529915,-6.361128205128205,-3.047777777777778,3.6249059829059833,12.195658119658118,18.05904273504273,22.407350427350423,24.46651282051282,23.28705982905983,18.169299145299146,11.54948717948718,2.774376068376068,-3.902427350427351,0.0,0.0,0.0,67.38205128205128,249.83032393162392,372.22051282051285,448.461897008547,411.89885470085466,245.07897435897436,51.2374358974359,0.0,0.0,1794.8726183760684,1846.110055128205,740.6703239316239,156.75213675213675,449.1837606837607,1.3089769167676513,30.82764102564102,9.577556974452886,12.384657534246575,856.5999999999999,16.568032786885247,143.29999999999998,4749.9,54.0,13.0,11.226074179296624,322.5999999999999,2903.7899448717944,14.10003275636767,3754.402333985531,148874.7351102564,34.03339983595893
0,25,116.977375,40.021125000000005,5.776,70,28.0,135.0,194.0,201.0,,78.0,407.0,392.0,143.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578,3.5384615384615383,3.252136752136752,7.042735042735043,14.965811965811966,32.15384615384615,70.38888888888889,188.36752136752136,143.3846153846154,47.042735042735046,16.487179487179485,5.431623931623932,3.4914529914529915,-6.361128205128205,-3.047777777777778,3.6249059829059833,12.195658119658118,18.05904273504273,22.407350427350423,24.46651282051282,23.28705982905983,18.169299145299146,11.54948717948718,2.774376068376068,-3.902427350427351,0.0,0.0,0.0,67.38205128205128,249.83032393162392,372.22051282051285,448.461897008547,411.89885470085466,245.07897435897436,51.2374358974359,0.0,0.0,1794.8726183760684,1846.110055128205,740.6703239316239,156.75213675213675,449.1837606837607,1.3089769167676513,30.82764102564102,9.577556974452886,12.384657534246575,856.5999999999999,16.568032786885247,143.29999999999998,4749.9,54.0,13.0,11.226074179296624,322.5999999999999,2903.7899448717944,14.10003275636767,3754.402333985531,148874.7351102564,36.651353669494235
0,32,116.993125,40.021125000000005,5.484,18,26.0,134.0,194.0,201.0,,78.0,407.0,392.0,133.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578,3.5384615384615383,3.252136752136752,7.042735042735043,14.965811965811966,32.15384615384615,70.38888888888889,188.36752136752136,143.3846153846154,47.042735042735046,16.487179487179485,5.431623931623932,3.4914529914529915,-6.361128205128205,-3.047777777777778,3.6249059829059833,12.195658119658118,18.05904273504273,22.407350427350423,24.46651282051282,23.28705982905983,18.169299145299146,11.54948717948718,2.774376068376068,-3.902427350427351,0.0,0.0,0.0,67.38205128205128,249.83032393162392,372.22051282051285,448.461897008547,411.89885470085466,245.07897435897436,51.2374358974359,0.0,0.0,1794.8726183760684,1846.110055128205,740.6703239316239,156.75213675213675,449.1837606837607,1.3089769167676513,30.82764102564102,9.577556974452886,12.384657534246575,856.5999999999999,16.568032786885247,143.29999999999998,4749.9,54.0,13.0,11.226074179296624,322.5999999999999,2903.7899448717944,14.10003275636767,3754.402333985531,148874.7351102564,34.03339983595893
0,33,116.995375,40.021125000000005,5.535,32,25.0,134.0,194.0,201.0,,78.0,407.0,392.0,133.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578,3.5384615384615383,3.252136752136752,7.042735042735043,14.965811965811966,32.15384615384615,70.38888888888889,188.36752136752136,143.3846153846154,47.042735042735046,16.487179487179485,5.431623931623932,3.4914529914529915,-6.361128205128205,-3.047777777777778,3.6249059829059833,12.195658119658118,18.05904273504273,22.407350427350423,24.46651282051282,23.28705982905983,18.169299145299146,11.54948717948718,2.774376068376068,-3.902427350427351,0.0,0.0,0.0,67.38205128205128,249.83032393162392,372.22051282051285,448.461897008547,411.89885470085466,245.07897435897436,51.2374358974359,0.0,0.0,1794.8726183760684,1846.110055128205,740.6703239316239,156.75213675213675,449.1837606837607,1.3089769167676513,30.82764102564102,9.577556974452886,12.384657534246575,856.5999999999999,16.568032786885247,143.29999999999998,4749.9,54.0,13.0,11.226074179296624,322.5999999999999,2903.7899448717944,14.10003275636767,3754.402333985531,148874.7351102564,32.724422919191284
0,34,116.997625,40.021125000000005,5.379,25,22.0,134.0,194.0,201.0,,78.0,407.0,392.0,133.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578,3.5384615384615383,3.252136752136752,7.042735042735043,14.965811965811966,32.15384615384615,70.38888888888889,188.36752136752136,143.3846153846154,47.042735042735046,16.487179487179485,5.431623931623932,3.4914529914529915,-6.361128205128205,-3.047777777777778,3.6249059829059833,12.195658119658118,18.05904273504273,22.407350427350423,24.46651282051282,23.28705982905983,18.169299145299146,11.54948717948718,2.774376068376068,-3.902427350427351,0.0,0.0,0.0,67.38205128205128,249.83032393162392,372.22051282051285,448.461897008547,411.89885470085466,245.07897435897436,51.2374358974359,0.0,0.0,1794.8726183760684,1846.110055128205,740.6703239316239,156.75213675213675,449.1837606837607,1.3089769167676513,30.82764102564102,9.577556974452886,12.384657534246575,856.5999999999999,16.568032786885247,143.29999999999998,4749.9,54.0,13.0,11.226074179296624,322.5999999999999,2903.7899448717944,14.10003275636767,3754.402333985531,148874.7351102564,28.79749216888833
