year,tmean_ws,prec_ws_mm,gdd0_ws
2001,7.543,6.2,2449.024
2002,8.75,6.85,2609.232
2003,7.07,6.05,2253.552
2004,7.592,9.87,2338.976
2005,7.291,7.8,2387.92
2006,7.7,4.83,2463.92
2007,8.762,6.42,2613.488
2008,7.47,10.11,2331.376
2009,8.039,7.2,2480.64
2010,6.11,6.37,2122.528
2011,6.903,6.99,2293.68
2012,7.234,7.35,2412.24
2013,6.169,8.4,2213.424
2014,8.834,6.32,2614.704
2015,8.326,6.23,2476.992
2016,7.999,6.74,2480.032
2017,8.766,7.13,2557.552
2018,7.84,6.36,2504.352
2019,8.553,4.26,2605.28
2020,8.686,8.97,2548.432
2021,7.971,7.68,2493.712
