part,block_ratio_x_range,edge_km,model,pooled_mean,pooled_std,pooled_by_seed,fold_mean_mean,fold_mean_std,note
Q1,0.5,2.31,XGB,0.2869,0.0085,"[0.299, 0.2811, 0.2807]",0.2685,0.0085,
Q1,0.5,2.31,RF,0.2238,0.0025,"[0.2267, 0.2241, 0.2206]",0.1976,0.0007,
Q1,1.0,4.62,XGB,0.3668,0.0078,"[0.3756, 0.3567, 0.3681]",0.3617,0.0066,
Q1,1.0,4.62,RF,0.341,0.0032,"[0.3429, 0.3364, 0.3435]",0.3276,0.0034,
Q1,2.0,9.24,XGB,0.3866,0.0076,"[0.3922, 0.3758, 0.3918]",0.3863,0.008,
Q1,2.0,9.24,RF,0.3795,0.0043,"[0.374, 0.3799, 0.3846]",0.3769,0.0048,
Q1,4.0,18.48,XGB,0.4064,0.0037,"[0.4024, 0.4113, 0.4054]",0.4036,0.004,
Q1,4.0,18.48,RF,0.3857,0.0022,"[0.3857, 0.3885, 0.383]",0.3803,0.0028,
Q1,0.0,0.0,XGB,0.4002,0.0146,"[0.4178, 0.3821, 0.4007]",0.386,0.0163,random baseline (ratio=0)
Q1,0.0,0.0,RF,0.3643,0.0253,"[0.3821, 0.3285, 0.3822]",0.3525,0.0284,random baseline (ratio=0)
