lon,lat,extreme_Tmax_proxy,extreme_Tmin_proxy,extreme_Prec_proxy,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,prec_01,prec_02,prec_03,prec_04,prec_05,prec_06,prec_07,prec_08,prec_09,prec_10,prec_11,prec_12,tavg_01,tavg_02,tavg_03,tavg_04,tavg_05,tavg_06,tavg_07,tavg_08,tavg_09,tavg_10,tavg_11,tavg_12,GDD_01,GDD_02,GDD_03,GDD_04,GDD_05,GDD_06,GDD_07,GDD_08,GDD_09,GDD_10,GDD_11,GDD_12,GDD_gs,GDD_annual,elevation_m,slope_deg,aspect_deg,clay_pct,sand_pct,silt_pct,soc_dgkg,bdod_kgdm3,cec_cmolkg,ph,nitrogen_cgkg,wheat_yield_tha,wheat_yield_pred_tha,yield_uncertainty_tha,yield_source,yield_blended_tha,yield_source_blend,grid_id,zenodo_yield_tha,n_px
116.8125,40.4792,29.9,-12.14,173.0,10.8857,12.0273,28.6093,1138.0612,29.9,-12.14,42.04,24.0847,-3.944,24.0847,-3.944,500.0,173.0,3.0,132.01,373.0,9.0,373.0,9.0,3.0,3.0,6.0,13.0,31.0,67.0,173.0,133.0,46.0,17.0,5.0,3.0,-5.952,-2.548,4.152,12.896,18.864,23.204,25.176,23.892,18.8,12.112,3.384,-3.34,0.0,0.0,0.0,86.88,274.784,396.12,470.456,430.652,264.0,65.472,0.0,0.0,1922.892,1988.364,130.2152,5.0958,169.9657,18.2,46.4,35.4,315.0,1.27,16.4,7.4,31.5,,7.079368326253668,0.1152331919396063,SpatialPred,6.530344141206538,BayesianBlend,0,,0
116.8542,40.4792,29.748,-12.16,173.0,10.757,11.746,28.0281,1137.9406,29.748,-12.16,41.908,23.974,-4.0673,23.974,-4.0673,499.0,173.0,2.0,132.4166,373.0,8.0,373.0,8.0,3.0,3.0,6.0,13.0,31.0,67.0,173.0,133.0,46.0,17.0,5.0,2.0,-6.1,-2.82,3.84,12.664,18.644,23.008,25.076,23.828,18.712,12.076,3.42,-3.26,0.0,0.0,0.0,79.92,267.964,390.24,467.356,428.668,261.36,64.356,0.0,0.0,1895.5079,1959.8639,141.4041,4.2236,309.9554,17.2,46.2,36.7,400.0,1.26,15.6,7.6,40.0,,7.060599403123771,0.1152331919396063,SpatialPred,6.410181939448447,BayesianBlend,1,,0
116.8958,40.4792,29.532,-12.48,172.0,10.5952,11.6503,27.731,1142.2222,29.532,-12.48,42.012,23.8373,-4.316,23.8373,-4.316,497.0,172.0,3.0,132.4724,372.0,9.0,372.0,9.0,3.0,3.0,6.0,13.0,30.0,67.0,172.0,133.0,46.0,17.0,4.0,3.0,-6.416,-3.072,3.656,12.504,18.5,22.86,24.936,23.716,18.616,11.984,3.336,-3.484,0.0,0.0,0.0,75.12,263.5,385.8,463.016,425.196,258.48,61.504,0.0,0.0,1871.112,1932.616,159.89159999999998,4.069,349.5354,16.9,46.1,37.1,427.0,1.25,15.4,7.7,42.7,,7.074735914688619,0.1152331919396063,SpatialPred,6.555186821788403,BayesianBlend,2,,0
116.9375,40.4792,29.368,-12.464,173.0,10.5953,11.2407,26.871,1139.3049,29.368,-12.464,41.832,23.7987,-4.288,23.7987,-4.288,498.0,173.0,3.0,132.6764,373.0,10.0,373.0,10.0,4.0,3.0,6.0,12.0,30.0,67.0,173.0,133.0,46.0,17.0,4.0,3.0,-6.532,-3.36,3.336,12.256,18.276,22.736,24.888,23.78,18.768,12.216,3.748,-2.968,0.0,0.0,0.0,67.68,256.556,382.08,461.528,427.18,263.04,68.696,0.0,0.0,1858.064,1926.76,149.7801,1.4686000000000003,7.160500000000013,16.9,46.1,37.1,427.0,1.25,15.4,7.7,42.7,,7.068836367982949,0.1152331919396063,SpatialPred,6.707813063372522,BayesianBlend,3,,0
116.9792,40.4792,29.284,-12.5,173.0,10.508,11.0907,26.5429,1141.3696,29.284,-12.5,41.784,23.7427,-4.3953,23.7427,-4.3953,497.0,173.0,3.0,132.8418,372.0,10.0,372.0,10.0,4.0,3.0,6.0,12.0,30.0,66.0,173.0,133.0,46.0,17.0,4.0,3.0,-6.656,-3.548,3.14,12.124,18.132,22.612,24.828,23.784,18.724,12.192,3.744,-2.98,0.0,0.0,0.0,63.72,252.092,378.36,459.668,427.304,261.72,67.952,0.0,0.0,1842.864,1910.816,144.2614,1.2807999999999993,1.172699999999992,17.8,47.4,34.8,188.0,1.28,17.2,7.5,18.8,,7.061643380885805,0.1152331919396063,SpatialPred,6.3936255283612615,BayesianBlend,4,,0
117.0208,40.4792,29.276,-12.748,173.0,10.3113,11.594,27.589,1146.5775,29.276,-12.748,42.024,23.594,-4.6607,23.594,-4.6607,502.0,173.0,3.0,132.3284,376.0,9.0,376.0,9.0,3.0,3.0,6.0,13.0,30.0,68.0,173.0,135.0,46.0,17.0,5.0,3.0,-6.752,-3.42,3.36,12.228,18.24,22.592,24.68,23.512,18.368,11.712,2.992,-3.828,0.0,0.0,0.0,66.84,255.44,377.76,455.08,418.872,251.04,53.072,0.0,0.0,1825.0321,1878.1041,191.1269,5.3865,310.6451,17.6,48.4,34.1,229.0,1.27,17.1,7.4,22.9,,7.048383685932188,0.1152331919396063,SpatialPred,6.388194135135085,BayesianBlend,5,,0
117.0625,40.4792,28.22,-13.672,175.0,9.1227,11.73,28.0006,1141.121,28.22,-13.672,41.892,22.394,-5.726,22.394,-5.726,520.0,175.0,3.0,130.1192,386.0,9.0,386.0,9.0,3.0,3.0,7.0,15.0,33.0,72.0,175.0,139.0,48.0,17.0,5.0,3.0,-7.604,-4.388,2.312,11.016,17.072,21.408,23.52,22.248,17.056,10.432,1.604,-5.184,0.0,0.0,0.0,30.480000000000004,219.232,342.24,419.12,379.688,211.68,13.391999999999996,0.0,0.0,1602.44,1615.832,481.1073,14.824,321.5866,17.4,49.2,33.4,271.0,1.27,17.0,7.2,27.1,,7.017040115526969,0.1152331919396063,SpatialPred,6.69653645003405,BayesianBlend,6,,0
117.1042,40.4792,27.436,-14.328,176.0,8.301,11.646,27.8853,1138.152,27.436,-14.328,41.764,21.5667,-6.4873,21.5667,-6.4873,535.0,176.0,3.0,127.3511,392.0,10.0,392.0,10.0,3.0,4.0,8.0,16.0,35.0,75.0,176.0,141.0,50.0,18.0,6.0,3.0,-8.292,-5.18,1.468,10.076,16.188,20.544,22.736,21.416,16.228,9.644,0.784,-5.988,0.0,0.0,0.0,2.280000000000001,191.828,316.32,394.816,353.896,186.84,0.0,0.0,0.0,1445.98,1445.98,661.3172,16.7688,11.891800000000018,17.9,48.7,33.4,334.0,1.25,17.7,7.2,33.4,,6.967008185063133,0.1152331919396063,SpatialPred,6.532246055454285,BayesianBlend,7,,0
117.1458,40.4792,28.608,-13.452,176.0,9.4968,11.7563,27.9513,1147.77,28.608,-13.452,42.06,22.8,-5.4813,22.8,-5.4813,517.0,176.0,3.0,131.3286,385.0,9.0,385.0,9.0,3.0,3.0,7.0,14.0,33.0,70.0,176.0,139.0,48.0,16.0,5.0,3.0,-7.384,-4.052,2.772,11.532,17.52,21.784,23.924,22.688,17.464,10.804,1.888,-4.996,0.0,0.0,0.0,45.96,233.12,353.52,431.644,393.328,223.92,24.924,0.0,0.0,1681.492,1706.416,361.058,11.6235,57.41129999999998,17.9,47.9,34.1,393.0,1.24,18.4,7.2,39.3,,7.033736374878769,0.1152331919396063,SpatialPred,6.340507196291313,BayesianBlend,8,,0
117.1875,40.4792,28.464,-13.68,175.0,9.3433,11.946,28.3457,1144.2346,28.464,-13.68,42.144,22.6173,-5.5813,22.6173,-5.5813,518.0,175.0,3.0,130.1688,384.0,9.0,384.0,9.0,3.0,3.0,7.0,15.0,33.0,71.0,175.0,138.0,48.0,17.0,5.0,3.0,-7.488,-4.136,2.664,11.344,17.364,21.62,23.752,22.488,17.248,10.62,1.732,-5.132,0.0,0.0,0.0,40.31999999999999,228.284,348.6,426.312,387.128,217.44,19.22,0.0,0.0,1648.084,1667.304,408.5502,16.289,285.8439,17.2,48.1,34.7,438.0,1.23,18.6,7.1,43.8,,7.028860233846562,0.1152331919396063,SpatialPred,6.517764517819164,BayesianBlend,9,,0
117.2292,40.4792,27.876,-14.136,176.0,8.7615,11.937,28.4133,1138.6194,27.876,-14.136,42.012,22.0033,-6.0647,22.0033,-6.0647,527.0,176.0,3.0,128.9445,388.0,9.0,388.0,9.0,3.0,3.0,7.0,16.0,35.0,72.0,176.0,140.0,49.0,17.0,6.0,3.0,-7.92,-4.68,2.028,10.656,16.696,20.988,23.144,21.864,16.648,10.096,1.212,-5.6,0.0,0.0,0.0,19.68,207.576,329.64,407.464,367.784,199.44,2.975999999999999,0.0,0.0,1531.584,1534.56,547.9673,18.3855,2.1661,16.9,48.9,34.2,498.0,1.22,18.8,6.9,49.8,,6.991475088140767,0.1152331919396063,SpatialPred,6.324259783440932,BayesianBlend,10,,0
117.2708,40.4792,27.492,-14.416,176.0,8.4195,11.915,28.4313,1135.7495,27.492,-14.416,41.908,21.6473,-6.3607,21.6473,-6.3607,530.0,176.0,3.0,129.0013,391.0,9.0,391.0,9.0,3.0,3.0,7.0,16.0,35.0,73.0,176.0,142.0,49.0,17.0,6.0,3.0,-8.18,-5.02,1.628,10.268,16.28,20.596,22.792,21.54,16.296,9.8,0.924,-5.868,0.0,0.0,0.0,8.04,194.68,317.88,396.552,357.74,188.88,0.0,0.0,0.0,1463.772,1463.772,586.7532,19.2601,292.764,17.0,50.3,32.7,486.0,1.22,18.7,7.0,48.6,,6.984859235764264,0.1152331919396063,SpatialPred,6.321138846731753,BayesianBlend,11,,0
