lon,lat,extreme_Tmax_proxy,extreme_Tmin_proxy,extreme_Prec_proxy,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,prec_01,prec_02,prec_03,prec_04,prec_05,prec_06,prec_07,prec_08,prec_09,prec_10,prec_11,prec_12,tavg_01,tavg_02,tavg_03,tavg_04,tavg_05,tavg_06,tavg_07,tavg_08,tavg_09,tavg_10,tavg_11,tavg_12,GDD_01,GDD_02,GDD_03,GDD_04,GDD_05,GDD_06,GDD_07,GDD_08,GDD_09,GDD_10,GDD_11,GDD_12,GDD_gs,GDD_annual,elevation_m,slope_deg,aspect_deg,clay_pct,sand_pct,silt_pct,soc_dgkg,bdod_kgdm3,cec_cmolkg,ph,nitrogen_cgkg
116.8125,40.4792,29.9000,-12.1400,173.0000,10.8857,12.0273,28.6093,1138.0612,29.9000,-12.1400,42.0400,24.0847,-3.9440,24.0847,-3.9440,500.0000,173.0000,3.0000,132.0100,373.0000,9.0000,373.0000,9.0000,3.0000,3.0000,6.0000,13.0000,31.0000,67.0000,173.0000,133.0000,46.0000,17.0000,5.0000,3.0000,-5.9520,-2.5480,4.1520,12.8960,18.8640,23.2040,25.1760,23.8920,18.8000,12.1120,3.3840,-3.3400,0.0000,0.0000,0.0000,86.8800,274.7840,396.1200,470.4560,430.6520,264.0000,65.4720,0.0000,0.0000,1922.8920,1988.3640,130.2152,5.0958,169.9657,18.2000,46.4000,35.4000,315.0000,1.2700,16.4000,7.4000,31.5000
116.8542,40.4792,29.7480,-12.1600,173.0000,10.7570,11.7460,28.0281,1137.9406,29.7480,-12.1600,41.9080,23.9740,-4.0673,23.9740,-4.0673,499.0000,173.0000,2.0000,132.4166,373.0000,8.0000,373.0000,8.0000,3.0000,3.0000,6.0000,13.0000,31.0000,67.0000,173.0000,133.0000,46.0000,17.0000,5.0000,2.0000,-6.1000,-2.8200,3.8400,12.6640,18.6440,23.0080,25.0760,23.8280,18.7120,12.0760,3.4200,-3.2600,0.0000,0.0000,0.0000,79.9200,267.9640,390.2400,467.3560,428.6680,261.3600,64.3560,0.0000,0.0000,1895.5079,1959.8639,141.4041,4.2236,309.9554,17.2000,46.2000,36.7000,400.0000,1.2600,15.6000,7.6000,40.0000
116.8958,40.4792,29.5320,-12.4800,172.0000,10.5952,11.6503,27.7310,1142.2222,29.5320,-12.4800,42.0120,23.8373,-4.3160,23.8373,-4.3160,497.0000,172.0000,3.0000,132.4724,372.0000,9.0000,372.0000,9.0000,3.0000,3.0000,6.0000,13.0000,30.0000,67.0000,172.0000,133.0000,46.0000,17.0000,4.0000,3.0000,-6.4160,-3.0720,3.6560,12.5040,18.5000,22.8600,24.9360,23.7160,18.6160,11.9840,3.3360,-3.4840,0.0000,0.0000,0.0000,75.1200,263.5000,385.8000,463.0160,425.1960,258.4800,61.5040,0.0000,0.0000,1871.1120,1932.6160,159.8916,4.0690,349.5354,16.9000,46.1000,37.1000,427.0000,1.2500,15.4000,7.7000,42.7000
116.9375,40.4792,29.3680,-12.4640,173.0000,10.5953,11.2407,26.8710,1139.3049,29.3680,-12.4640,41.8320,23.7987,-4.2880,23.7987,-4.2880,498.0000,173.0000,3.0000,132.6764,373.0000,10.0000,373.0000,10.0000,4.0000,3.0000,6.0000,12.0000,30.0000,67.0000,173.0000,133.0000,46.0000,17.0000,4.0000,3.0000,-6.5320,-3.3600,3.3360,12.2560,18.2760,22.7360,24.8880,23.7800,18.7680,12.2160,3.7480,-2.9680,0.0000,0.0000,0.0000,67.6800,256.5560,382.0800,461.5280,427.1800,263.0400,68.6960,0.0000,0.0000,1858.0640,1926.7600,149.7801,1.4686,7.1605,16.9000,46.1000,37.1000,427.0000,1.2500,15.4000,7.7000,42.7000
116.9792,40.4792,29.2840,-12.5000,173.0000,10.5080,11.0907,26.5429,1141.3696,29.2840,-12.5000,41.7840,23.7427,-4.3953,23.7427,-4.3953,497.0000,173.0000,3.0000,132.8418,372.0000,10.0000,372.0000,10.0000,4.0000,3.0000,6.0000,12.0000,30.0000,66.0000,173.0000,133.0000,46.0000,17.0000,4.0000,3.0000,-6.6560,-3.5480,3.1400,12.1240,18.1320,22.6120,24.8280,23.7840,18.7240,12.1920,3.7440,-2.9800,0.0000,0.0000,0.0000,63.7200,252.0920,378.3600,459.6680,427.3040,261.7200,67.9520,0.0000,0.0000,1842.8640,1910.8160,144.2614,1.2808,1.1727,17.8000,47.4000,34.8000,188.0000,1.2800,17.2000,7.5000,18.8000
117.0208,40.4792,29.2760,-12.7480,173.0000,10.3113,11.5940,27.5890,1146.5775,29.2760,-12.7480,42.0240,23.5940,-4.6607,23.5940,-4.6607,502.0000,173.0000,3.0000,132.3284,376.0000,9.0000,376.0000,9.0000,3.0000,3.0000,6.0000,13.0000,30.0000,68.0000,173.0000,135.0000,46.0000,17.0000,5.0000,3.0000,-6.7520,-3.4200,3.3600,12.2280,18.2400,22.5920,24.6800,23.5120,18.3680,11.7120,2.9920,-3.8280,0.0000,0.0000,0.0000,66.8400,255.4400,377.7600,455.0800,418.8720,251.0400,53.0720,0.0000,0.0000,1825.0321,1878.1041,191.1269,5.3865,310.6451,17.6000,48.4000,34.1000,229.0000,1.2700,17.1000,7.4000,22.9000
117.0625,40.4792,28.2200,-13.6720,175.0000,9.1227,11.7300,28.0006,1141.1210,28.2200,-13.6720,41.8920,22.3940,-5.7260,22.3940,-5.7260,520.0000,175.0000,3.0000,130.1192,386.0000,9.0000,386.0000,9.0000,3.0000,3.0000,7.0000,15.0000,33.0000,72.0000,175.0000,139.0000,48.0000,17.0000,5.0000,3.0000,-7.6040,-4.3880,2.3120,11.0160,17.0720,21.4080,23.5200,22.2480,17.0560,10.4320,1.6040,-5.1840,0.0000,0.0000,0.0000,30.4800,219.2320,342.2400,419.1200,379.6880,211.6800,13.3920,0.0000,0.0000,1602.4400,1615.8320,481.1073,14.8240,321.5866,17.4000,49.2000,33.4000,271.0000,1.2700,17.0000,7.2000,27.1000
117.1042,40.4792,27.4360,-14.3280,176.0000,8.3010,11.6460,27.8853,1138.1520,27.4360,-14.3280,41.7640,21.5667,-6.4873,21.5667,-6.4873,535.0000,176.0000,3.0000,127.3511,392.0000,10.0000,392.0000,10.0000,3.0000,4.0000,8.0000,16.0000,35.0000,75.0000,176.0000,141.0000,50.0000,18.0000,6.0000,3.0000,-8.2920,-5.1800,1.4680,10.0760,16.1880,20.5440,22.7360,21.4160,16.2280,9.6440,0.7840,-5.9880,0.0000,0.0000,0.0000,2.2800,191.8280,316.3200,394.8160,353.8960,186.8400,0.0000,0.0000,0.0000,1445.9800,1445.9800,661.3172,16.7688,11.8918,17.9000,48.7000,33.4000,334.0000,1.2500,17.7000,7.2000,33.4000
117.1458,40.4792,28.6080,-13.4520,176.0000,9.4968,11.7563,27.9513,1147.7700,28.6080,-13.4520,42.0600,22.8000,-5.4813,22.8000,-5.4813,517.0000,176.0000,3.0000,131.3286,385.0000,9.0000,385.0000,9.0000,3.0000,3.0000,7.0000,14.0000,33.0000,70.0000,176.0000,139.0000,48.0000,16.0000,5.0000,3.0000,-7.3840,-4.0520,2.7720,11.5320,17.5200,21.7840,23.9240,22.6880,17.4640,10.8040,1.8880,-4.9960,0.0000,0.0000,0.0000,45.9600,233.1200,353.5200,431.6440,393.3280,223.9200,24.9240,0.0000,0.0000,1681.4920,1706.4160,361.0580,11.6235,57.4113,17.9000,47.9000,34.1000,393.0000,1.2400,18.4000,7.2000,39.3000
117.1875,40.4792,28.4640,-13.6800,175.0000,9.3433,11.9460,28.3457,1144.2346,28.4640,-13.6800,42.1440,22.6173,-5.5813,22.6173,-5.5813,518.0000,175.0000,3.0000,130.1688,384.0000,9.0000,384.0000,9.0000,3.0000,3.0000,7.0000,15.0000,33.0000,71.0000,175.0000,138.0000,48.0000,17.0000,5.0000,3.0000,-7.4880,-4.1360,2.6640,11.3440,17.3640,21.6200,23.7520,22.4880,17.2480,10.6200,1.7320,-5.1320,0.0000,0.0000,0.0000,40.3200,228.2840,348.6000,426.3120,387.1280,217.4400,19.2200,0.0000,0.0000,1648.0840,1667.3040,408.5502,16.2890,285.8439,17.2000,48.1000,34.7000,438.0000,1.2300,18.6000,7.1000,43.8000
