grid_id,block
0,1
1,0
2,1
3,0
4,0
5,1
6,0
7,1
8,1
9,0
10,1
11,0
12,1
13,1
14,0
15,1
16,0
17,0
18,0
19,1
20,0
21,1
22,1
23,0
24,1
25,0
26,0
27,1
28,0
29,1
30,0
31,0
32,1
33,0
34,1
35,1
36,1
37,0
38,1
39,0
40,0
41,1
42,0
43,1
44,1
45,0
46,1
47,0
48,1
49,1
50,0
51,1
52,0
53,0
54,0
55,1
56,0
57,1
58,1
59,0
60,1
61,0
62,0
63,1
64,0
65,1
66,0
67,0
68,1
69,0
70,1
71,1
72,1
73,0
74,1
75,0
76,0
77,1
78,0
79,1
80,1
81,0
82,1
83,0
84,1
85,1
86,0
87,1
88,0
89,0
90,0
91,1
92,0
93,1
94,1
95,0
96,1
97,0
98,0
99,1
100,0
101,1
102,0
103,0
104,1
105,0
106,1
107,1
108,1
109,0
110,1
111,0
112,0
113,1
114,0
115,1
116,1
117,0
118,1
119,0
120,1
121,1
122,0
123,1
124,0
125,0
126,0
127,1
128,0
129,1
130,1
131,0
132,1
133,0
134,0
135,1
136,0
137,1
138,0
139,0
140,1
141,0
142,1
143,1
144,1
145,0
146,1
147,0
148,0
149,1
150,0
151,1
152,1
153,0
154,1
155,0
156,1
157,1
158,0
159,1
160,0
161,0
162,0
163,1
164,0
165,1
166,1
167,0
168,1
169,0
170,0
171,1
172,0
173,1
174,0
175,0
176,1
177,0
178,1
179,1
180,1
181,0
182,1
183,0
184,0
185,1
186,0
187,1
188,1
189,0
190,1
191,0
192,1
193,1
194,0
195,1
196,0
197,0
198,0
199,1
200,0
201,1
202,1
203,0
204,1
205,0
206,0
207,1
208,0
209,1
210,0
211,0
212,1
213,0
214,1
215,1
216,1
217,0
218,1
219,0
220,0
221,1
222,0
223,1
224,1
225,0
226,1
227,0
228,1
229,1
230,0
231,1
232,0
233,0
