grid_id,block
0,3
1,3
2,3
3,3
4,3
5,3
6,1
7,1
8,3
9,3
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,3
19,3
20,3
21,3
22,3
23,3
24,1
25,1
26,1
27,3
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,0
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,2
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,2
99,1
100,1
101,1
102,2
103,1
104,1
105,1
106,1
107,1
108,0
109,0
110,3
111,3
112,3
113,3
114,3
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,1
123,2
124,1
125,1
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,2
139,2
140,2
141,2
142,2
143,1
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,2
214,2
215,2
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,2
