grid_id,block
0,2
1,2
2,2
3,2
4,2
5,2
6,6
7,6
8,6
9,6
10,6
11,6
12,6
13,1
14,1
15,1
16,1
17,1
18,2
19,2
20,2
21,2
22,2
23,2
24,6
25,6
26,6
27,6
28,6
29,6
30,6
31,1
32,1
33,1
34,1
35,1
36,2
37,2
38,2
39,2
40,2
41,2
42,7
43,6
44,6
45,6
46,6
47,6
48,6
49,1
50,1
51,1
52,1
53,1
54,2
55,2
56,2
57,2
58,2
59,7
60,7
61,7
62,6
63,6
64,6
65,6
66,6
67,1
68,1
69,1
70,1
71,1
72,2
73,2
74,2
75,2
76,7
77,7
78,7
79,7
80,7
81,6
82,6
83,4
84,4
85,1
86,1
87,1
88,1
89,1
90,2
91,2
92,2
93,7
94,7
95,7
96,7
97,7
98,7
99,4
100,4
101,4
102,4
103,4
104,1
105,1
106,1
107,1
108,3
109,3
110,3
111,7
112,7
113,7
114,7
115,7
116,7
117,4
118,4
119,4
120,4
121,4
122,4
123,1
124,1
125,1
126,3
127,3
128,3
129,3
130,7
131,7
132,7
133,7
134,7
135,4
136,4
137,4
138,4
139,4
140,4
141,5
142,5
143,5
144,3
145,3
146,3
147,3
148,3
149,7
150,7
151,0
152,0
153,4
154,4
155,4
156,4
157,4
158,5
159,5
160,5
161,5
162,3
163,3
164,3
165,3
166,3
167,0
168,0
169,0
170,0
171,0
172,4
173,4
174,4
175,5
176,5
177,5
178,5
179,5
180,3
181,3
182,3
183,3
184,3
185,0
186,0
187,0
188,0
189,0
190,0
191,4
192,5
193,5
194,5
195,5
196,5
197,5
198,3
199,3
200,3
201,3
202,3
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,5
211,5
212,5
213,5
214,5
215,5
216,3
217,3
218,3
219,3
220,3
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,5
229,5
230,5
231,5
232,5
233,5
