seed,fold,grid_id
7,0,2
7,0,3
7,0,8
7,0,11
7,0,22
7,0,24
7,0,46
7,0,50
7,0,57
7,0,60
7,0,66
7,0,77
7,0,78
7,0,80
7,0,82
7,0,84
7,0,85
7,0,88
7,0,90
7,0,94
7,0,101
7,0,109
7,0,116
7,0,120
7,0,121
7,0,122
7,0,126
7,0,131
7,0,139
7,0,140
7,0,143
7,0,154
7,0,160
7,0,162
7,0,164
7,0,174
7,0,177
7,0,186
7,0,197
7,0,199
7,0,205
7,0,210
7,0,215
7,0,221
7,0,224
7,0,225
7,0,231
7,1,9
7,1,13
7,1,14
7,1,15
7,1,18
7,1,27
7,1,28
7,1,31
7,1,32
7,1,36
7,1,37
7,1,40
7,1,45
7,1,51
7,1,58
7,1,63
7,1,65
7,1,74
7,1,95
7,1,96
7,1,97
7,1,99
7,1,102
7,1,108
7,1,113
7,1,114
7,1,115
7,1,125
7,1,132
7,1,141
7,1,145
7,1,150
7,1,157
7,1,158
7,1,161
7,1,170
7,1,173
7,1,178
7,1,182
7,1,193
7,1,200
7,1,208
7,1,209
7,1,217
7,1,219
7,1,227
7,1,232
7,2,5
7,2,7
7,2,17
7,2,20
7,2,26
7,2,29
7,2,39
7,2,41
7,2,43
7,2,48
7,2,49
7,2,52
7,2,53
7,2,54
7,2,59
7,2,62
7,2,64
7,2,70
7,2,79
7,2,81
7,2,86
7,2,91
7,2,98
7,2,104
7,2,105
7,2,106
7,2,111
7,2,117
7,2,128
7,2,129
7,2,133
7,2,134
7,2,138
7,2,147
7,2,148
7,2,153
7,2,156
7,2,168
7,2,169
7,2,171
7,2,184
7,2,194
7,2,195
7,2,202
7,2,204
7,2,207
7,2,233
7,3,1
7,3,10
7,3,12
7,3,16
7,3,21
7,3,30
7,3,33
7,3,35
7,3,47
7,3,61
7,3,71
7,3,73
7,3,76
7,3,83
7,3,93
7,3,100
7,3,107
7,3,118
7,3,119
7,3,123
7,3,124
7,3,130
7,3,144
7,3,146
7,3,149
7,3,155
7,3,159
7,3,163
7,3,165
7,3,166
7,3,179
7,3,180
7,3,187
7,3,190
7,3,198
7,3,203
7,3,206
7,3,212
7,3,213
7,3,214
7,3,216
7,3,220
7,3,223
7,3,226
7,3,228
7,3,229
7,3,230
7,4,0
7,4,4
7,4,6
7,4,19
7,4,23
7,4,25
7,4,34
7,4,38
7,4,42
7,4,44
7,4,55
7,4,56
7,4,67
7,4,68
7,4,69
7,4,72
7,4,75
7,4,87
7,4,89
7,4,92
7,4,103
7,4,110
7,4,112
7,4,127
7,4,135
7,4,136
7,4,137
7,4,142
7,4,151
7,4,152
7,4,167
7,4,172
7,4,175
7,4,176
7,4,181
7,4,183
7,4,185
7,4,188
7,4,189
7,4,191
7,4,192
7,4,196
7,4,201
7,4,211
7,4,218
7,4,222
